name,x,y,xoffset,yoffset,ha,va,pref
Paris,261845.70624393807,6250564.349543127,0,0,left,bottom,True
Marseille,597763.4016617204,5357211.616617033,-4,-4,right,top,True
Lyon,538307.661629033,5742610.375367168,-7,0,right,top,True
Toulouse,160767.6086036457,5404471.002402141,-6,2,right,bottom,True
Nice,808402.1421407526,5420703.946790211,4,-3,left,top,False
Nantes,-172945.9608964298,5977795.656388283,0,-5,right,top,True
Strasbourg,862959.8245785361,6202783.8737762105,3,-8,left,top,True
Montpellier,431607.9297036803,5405577.937052526,-2,2,right,bottom,False
Bordeaux,-64476.24906746406,5596022.457702657,-5,3,right,bottom,True
Lille,340337.0792022753,6555963.748477678,12,-2,left,bottom,True
Rennes,-186771.8416529544,6126391.608020731,-8,-3,right,top,True
Reims,448806.79103124107,6318803.691501159,9,-4,left,bottom,False
Le Havre,12011.373056594217,6359170.920525678,-5,1,right,bottom,False
St-Étienne,488380.8700082498,5691010.916221978,-5,-2,right,top,False
Toulon,659901.9414225257,5330895.50090574,2,-7,left,top,False
Angers,-62695.137214771676,6020513.739538846,-4,2,right,bottom,False
Grenoble,637248.4250460946,5651245.929705093,3,-5,left,top,False
Dijon,561217.2128342887,5994791.96269653,8,0,left,bottom,True
Nîmes,485364.1118077521,5440205.811608688,-5,3,right,bottom,False
"Clermont-\nFerrand",343643.2680788355,5744716.967524776,-3,-3,right,top,False
Le Mans,22219.370362337406,6107869.717536828,2,-2,left,top,False
Aix-en-Provence,606401.7941472785,5392948.3013622165,3,-1,left,bottom,False
Brest,-499390.36764770455,6172050.986527436,-7,-5,right,top,False
Tours,76231.58729523374,6006640.15062545,-5,1,right,bottom,False
Amiens,256290.86365335374,6428111.508773793,-8,-3,right,bottom,False
Limoges,140385.0098393973,5753723.483510821,-7,0,right,top,False
Annecy,682321.6868682911,5764210.637454501,1,-2,left,top,False
Perpignan,322247.6619483683,5264708.211407855,7,-4,left,bottom,False
Metz,687475.7792920195,6295128.404798636,4,-1,left,bottom,False
Besançon,670599.7444877593,5980975.832194585,4,-3,left,top,False
Orléans,212542.30377159725,6090716.030216875,5,2,left,bottom,True
Mulhouse,816628.6525103756,6065496.513521013,9,2,left,top,False
Rouen,122373.51622904564,6350400.507094987,-5,0,right,top,True
Caen,-41266.13523706651,6305952.872415723,-2,-2,right,top,False
Nancy,688444.2588619211,6222777.779003069,5,-1,left,bottom,False
Avignon,534945.8130070762,5457599.590884946,11,-2,left,bottom,False
Poitiers,37893.15466603032,5873819.211936107,5,-1,left,bottom,False
La Rochelle,-128139.86585213721,5806074.7247822685,-6,-2,right,bottom,False
Calais,206909.53753745757,6612683.773410674,-3,1,right,bottom,False
Troyes,453560.1332881138,6156458.249942728,-2,-2,right,top,False
Chambéry,658766.4826164343,5710848.496512099,-1,-4,center,top,False
Lorient,-374768.1977046348,6065181.943526479,-4,-2,right,top,False
Quimper,-455998.0301364865,6106206.038370515,2,2,left,bottom,False
Béziers,357981.21849300916,5364510.211192875,-2,2,right,bottom,False
Pau,-41277.267186145844,5356997.488620319,1,2,left,bottom,False
Valence,544619.4767570116,5611042.765889764,-6,0,right,bottom,False
Cherbourg,-179925.6929691681,6383990.143114632,3,4,right,bottom,False
Bourges,267033.19451490464,5955305.370505955,-5,3,left,bottom,False
Beauvais,232390.5689800379,6348123.753877615,-2,1,right,bottom,False
Bayonne,-165120.20069366271,5385826.763659135,-4,1,right,bottom,False
